taxon_id,taxon_rank,taxon_name
PARSP34,genus,Paratanytarsus sp.
TURSP,class,Turbellaria sp.
NEMSP,phylum,Nematoda sp.
CHISP2,family,Chironomidae sp.
HELTRI,species,Helobdella triserialis
LUMSP6,genus,Lumbriculus sp.
CHISP8,genus,Chironomus sp.
PROSP2,suborder,Prostigmata sp.
CELSP2,genus,Celina sp.
ARRSP2,genus,Arrenurus sp.
HELSTA,species,Helobdella stagnalis
MICSP6,genus,Micropsectra sp.
FOSSP,genus,Fossaria sp.
COESP,family,Coenagrionidae sp.
PISSP2,family,Pisidiidae sp.
TROGLA,species,Tropisternus glaber
TANSP11,genus,Tanytarsus sp.
DESSP3,genus,Desmopachria sp.
SMISP,family,Sminthuridae sp.
CULSP,family,Culicidae sp.
LIBSP,family,Libellulidae sp.
BAESP,family,Baetidae sp.
PELSP3,genus,Peltodytes sp.
MESSP4,genus,Mesovelia sp.
NOTSP2,family,Notonectidae sp.
BERSP4,genus,Berosus sp.
CALSP14,genus,Callibaetis sp.
LIOSP,genus,Liodessus sp.
PROSP23,genus,Procladius sp.
CALPIC,species,Callibaetis pictus
NAISP1,genus,Nais sp.
VELSP,family,Veliidae sp.
EPHSP3,family,Ephydridae sp.
PODAQU,species,Podura aquatica
HYDSP28,genus,Hydrovatus sp.
CORSP4,family,Corixidae sp.
HELSP4,genus,Helisoma sp.
PLESP3,family,Pleidae sp.
HYDSP21,genus,Hydra sp.
SPHSP11,genus,Sphaeromias sp.
NAISP,family,Naididae sp.
SCISP1,family,Sciomyzidae sp.
CERSP18,genus,Ceratopogon sp.
PSESP19,genus,Psectrocladius sp.
ODOSP6,speciesGroup,Odontomyia/Hedriodiscus sp.
GLOCOM,species,Glossiphonia complanata
SPHSTR,species,Sphaerium striatinum
SYNSP6,genus,Synclita sp.
PHYSP7,genus,Physa sp.
CAEYOU,species,Caenis youngi
HELSP19,genus,Helobdella sp.
COESP6,speciesGroup,Coenagrion/Enallagma sp.
DICSP7,genus,Dicrotendipes sp.
CAESP5,genus,Caenis sp.
LARSP,genus,Larsia sp.
PARSP19,genus,Paramerina sp.
HYDSP55,genus,Hydrozetes sp.
NEOUND,speciesGroup,Neoporus undulatus gr.
CALFLU,species,Callibaetis fluctuans
BELSP,family,Belostomatidae sp.
NEUSP4,genus,Neumania sp.
PLASP10,genus,Planorbella sp.
PELEDE,species,Peltodytes edentulus
DIPSP1,order,Diptera sp.
CRASP3,family,Crambidae sp.
SYRSP,family,Syrphidae sp.
MONSP7,genus,Monohelea sp.
MACHOR,species,Macrovelia hornii
HETSP14,genus,Heterosternuta sp.
BEZSP1,speciesGroup,Bezzia/Palpomyia sp.
CERSP10,subfamily,Ceratopogoninae sp.
LIBSP1,genus,Libellula sp.
TABSP1,family,Tabanidae sp.
MOOMIC,species,Mooreobdella microstoma
